时间,人口死亡率(‰),人口出生率(‰),末总人口(万人),人口自然增长率(‰)
1949,20.00,36.00,54167,16.00
1950,18.00,37.00,55196,19.00
1951,17.80,37.80,56300,20.00
1952,17.00,37.00,57482,20.00
1953,14.00,37.00,58796,23.00
1954,13.18,37.97,60266,24.79
1955,12.28,32.60,61465,20.32
1956,11.40,31.90,62828,20.50
1957,10.80,34.03,64653,23.23
1958,11.98,29.22,65994,17.24
1959,14.59,24.78,67207,10.19
1960,25.43,20.86,66207,-4.57
1961,14.33,18.13,65859,3.80
1962,10.08,37.22,67296,27.14
1963,10.10,43.60,69172,33.50
1964,11.56,39.34,70499,27.78
1965,9.50,38.00,72538,28.50
1966,8.87,35.21,74542,26.34
1967,8.47,34.12,76368,25.65
1968,8.25,35.75,78534,27.50
1969,8.06,34.25,80671,26.19
1970,7.64,33.59,82992,25.95
1971,7.34,30.74,85229,23.40
1972,7.65,29.92,87177,22.27
1973,7.08,28.07,89211,20.99
1974,7.38,24.95,90859,17.57
1975,7.36,23.13,92420,15.77
1976,7.29,20.01,93717,12.72
1977,6.91,19.03,94974,12.12
1978,6.25,18.25,96259,12.00
1979,6.21,17.82,97542,11.61
1980,6.34,18.21,98705,11.87
1981,6.36,20.91,100072,14.55
1982,6.60,22.28,101654,15.68
1983,6.90,20.19,103008,13.29
1984,6.82,19.90,104357,13.08
1985,6.78,21.04,105851,14.26
1986,6.86,22.43,107507,15.57
1987,6.72,23.33,109300,16.61
1988,6.64,22.37,111026,15.73
1989,6.54,21.58,112704,15.04
1990,6.67,21.06,114333,14.39
1991,6.70,19.68,115823,12.98
1992,6.64,18.24,117171,11.60
1993,6.64,18.09,118517,11.45
1994,6.49,17.70,119850,11.21
1995,6.57,17.12,121121,10.55
1996,6.56,16.98,122389,10.42
1997,6.51,16.57,123626,10.06
1998,6.50,15.64,124761,9.14
1999,6.46,14.64,125786,8.18
2000,6.45,14.03,126743,7.58
2001,6.43,13.38,127627,6.95
2002,6.41,12.86,128453,6.45
2003,6.40,12.41,129227,6.01
2004,6.42,12.29,129988,5.87
2005,6.51,12.40,130756,5.89
2006,6.81,12.09,131448,5.28
2007,6.93,12.10,132129,5.17
2008,7.06,12.14,132802,5.08
2009,7.08,11.95,133450,4.87
2010,7.11,11.90,134091,4.79
2011,7.14,13.27,134916,6.13
2012,7.13,14.57,135922,7.43
2013,7.13,13.03,136726,5.90
2014,7.12,13.83,137646,6.71
2015,7.07,11.99,138326,4.93
2016,7.04,13.57,139232,6.53
2017,7.06,12.64,140011,5.58
2018,7.08,10.86,140541,3.78
2019,7.09,10.41,141008,3.32
2020,7.07,8.52,141212,1.45
2021,7.18,7.52,141260,0.34
2022,7.37,6.77,141175,-0.60





146058/(1+e^(-(3.32029923663048e-07*k^4-4.13659214000189e-05*k^3+0.00192433429604291*k^2+0.0130051410741149*k^1+0.0403060533998151))*1.4842)










